,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
88,008  -  CONGRESO,075  -  PLAZA PRIMERO DE MAYO,374,-34.6101,-58.3891,-34.6123,-58.3989,0.9296234029505943
89,127  -  PLAZA LEONARDO N. ALEM,263  -  PLAZA ECHEVERRIA,512,-34.5763,-58.5025,-34.5717,-58.4897,1.2786925977912251
90,244  -  UADE,333  -  PARQUE DE LA ESTACION,1666,-34.6171,-58.3815,-34.608,-58.4118,2.9517531806402366
91,121  -  YATAY,325  -  MEDRANO,533,-34.6008,-58.4283,-34.6094,-58.4215,1.140960869278285
92,137  -  AZOPARDO Y CHILE,140  -  LAS CASAS,1428,-34.6157,-58.3676,-34.6359,-58.4157,4.941185717232656
93,257  -  PLAZA FRANCISCO RAMIREZ,359  -  PLAZA BALCARCE,3608,-34.5531,-58.4689,-34.5475,-58.4678,0.6307881551284275
94,107  -  HOSPITAL GARRAHAN,138  -  HOSPITAL BRITANICO,358,-34.6303,-58.3963,-34.6354,-58.3876,0.9773360168110731
95,189  -  POSADAS,083  -  PARANA,762,-34.5885,-58.3855,-34.6031,-58.3893,1.6602890602785036
96,397  -  PARQUE SANTOJANNI,397  -  PARQUE SANTOJANNI,201,-34.6484,-58.5136,-34.6484,-58.5136,0.0
97,391  -  PLAZA REPUBLICA DE ECUADOR,160  -  GODOY CRUZ Y LIBERTADOR,1214,-34.56553,-58.41986,-34.5728,-58.4207,0.8120377271413127
98,208  -  NICASIO ORONO,275  -  PLAZA 24 DE SEPTIEMBRE,518,-34.5964,-58.4594,-34.6071,-58.4485,1.552699837214327
100,272  -  PLAZA BRUNO GIORDANO,167  -  HIPOLITO YRIGOYEN,455,-34.6159,-58.4407,-34.615,-58.4273,1.2303317158199378
101,366  -  VILLA OLIMPICA,360  -  PLAZA RAMON FALCON,1583,-34.6774,-58.4542,-34.6354,-58.4827,5.3484586701355346
102,182  -  RAVIGNANI Y GUATEMALA,182  -  RAVIGNANI Y GUATEMALA,2864,-34.5781,-58.4351,-34.5781,-58.4351,0.0
103,005  -  PLAZA ITALIA,160  -  GODOY CRUZ Y LIBERTADOR,418,-34.5808,-58.4204,-34.5728,-58.4207,0.8899833392304171
104,009  -  PARQUE LAS HERAS,066  -  BILLINGHURST,665,-34.5855,-58.4077,-34.5947,-58.4139,1.1698814181019945
105,393  -  BARRIO 31,393  -  BARRIO 31,2320,-34.58309,-58.37782,-34.58309,-58.37782,0.0
106,158  -  VILLARROEL,113  -  GUATEMALA,1244,-34.5925,-58.4452,-34.5857,-58.4251,1.9892714107623883
107,255  -  BARRANCAS DE BELGRANO,256  -  PLAZA NORUEGA,1313,-34.5599,-58.4482,-34.5622,-58.4594,1.0570070943188477
108,051  -  TUCUMAN,022  -  ARENALES,764,-34.6014,-58.3819,-34.5943,-58.3828,0.7937701590813198
109,033  -  FACULTAD DE MEDICINA,174  -  MINISTERIO DE EDUCACION,306,-34.5972,-58.3988,-34.5972,-58.3918,0.6407217156077641
110,152  -  JULIETA LANTERI,111  -  MACACHA GUEMES,971,-34.6181,-58.36,-34.6048,-58.3639,1.521351198684581
111,035  -  INGENIERO BUTTY,189  -  POSADAS,538,-34.5962,-58.3718,-34.5885,-58.3855,1.518466118445956
112,083  -  PARANA,027  -  MONTEVIDEO,831,-34.6031,-58.3893,-34.5994,-58.3897,0.41304695153499105
113,033  -  FACULTAD DE MEDICINA,083  -  PARANA,470,-34.5972,-58.3988,-34.6031,-58.3893,1.0892505441776321
114,221  -  CULPINA,327  -  PLAZA RICCHERI,1694,-34.6316,-58.4663,-34.6107,-58.5191,5.361346663845346
115,255  -  BARRANCAS DE BELGRANO,233  -  MONROE,931,-34.5599,-58.4482,-34.5641,-58.4698,2.0323091140124334
117,060  -  25 DE MAYO,061  -  MINISTERIO DE ECONOMIA,274,-34.6015,-58.3712,-34.6088,-58.3707,0.8130118584430964
118,128  -  PARQUE DEL BAJO,049  -  33 ORIENTALES,1705,-34.6052,-58.368,-34.6288,-58.4223,5.61936259021703
119,162  -  LARREA Y BARTOLOME MITRE,333  -  PARQUE DE LA ESTACION,650,-34.609,-58.4019,-34.608,-58.4118,0.9128380440312053
120,130  -  RETIRO II,063  -  RECONQUISTA,388,-34.5927,-58.375,-34.5985,-58.3728,0.6756380368974367
121,122  -  COSTA RICA,182  -  RAVIGNANI Y GUATEMALA,590,-34.5916,-58.4204,-34.5781,-58.4351,2.0160224027145115
122,061  -  MINISTERIO DE ECONOMIA,026  -  JUANA MANSO I,480,-34.6088,-58.3707,-34.6009,-58.3638,1.0818789432551714
123,145  -  RAVIGNANI,145  -  RAVIGNANI,1486,-34.5803,-58.4378,-34.5803,-58.4378,0.0
124,012  -  PLAZA VICENTE LOPEZ,128  -  PARQUE DEL BAJO,1089,-34.5928,-58.3888,-34.6052,-58.368,2.350671776967435
126,079  -  AZUCENA VILLAFLOR,006  -  PARQUE LEZAMA,674,-34.612,-58.3639,-34.6282,-58.3694,1.8703438534050705
127,370  -  BEAUCHEF,340  -  PLAZA NUEVA POMPEYA,696,-34.6401,-58.4304,-34.6517,-58.4146,1.937210421917623
129,135  -  MARCELO T. DE ALVEAR,045  -  URUGUAY,491,-34.5975,-58.3784,-34.6022,-58.3866,0.9145663446496216
130,164  -  FACULTAD DE INGENIERIA,168  -  ESTADOS UNIDOS,422,-34.6173,-58.3669,-34.6185,-58.3815,1.342676038685939
131,132  -  CORRIENTES,036  -  MAIPU,2333,-34.6031,-58.3725,-34.6046,-58.3766,0.4106484201292657
132,138  -  HOSPITAL BRITANICO,340  -  PLAZA NUEVA POMPEYA,1222,-34.6354,-58.3876,-34.6517,-58.4146,3.063633801909376
133,018  -  INDEPENDENCIA,079  -  AZUCENA VILLAFLOR,679,-34.6176,-58.3803,-34.612,-58.3639,1.6248536497710937
135,009  -  PARQUE LAS HERAS,066  -  BILLINGHURST,580,-34.5855,-58.4077,-34.5947,-58.4139,1.1698814181019945
136,044  -  ECOPARQUE,044  -  ECOPARQUE,6275,-34.5758,-58.4143,-34.5758,-58.4143,0.0
137,035  -  INGENIERO BUTTY,001  -  FACULTAD DE DERECHO,668,-34.5962,-58.3718,-34.5842,-58.3905,2.1704087116229123
138,137  -  AZOPARDO Y CHILE,008  -  CONGRESO,608,-34.6157,-58.3676,-34.6101,-58.3891,2.0637424761303524
139,014  -  PACIFICO,014  -  PACIFICO,1395,-34.5782,-58.4266,-34.5782,-58.4266,0.0
140,050  -  HOSPITAL RIVADAVIA,054  -  ACUNA DE FIGUEROA,752,-34.5836,-58.4012,-34.5982,-58.4219,2.495201522955412
141,099  -  MALABIA,145  -  RAVIGNANI,1207,-34.5963,-58.4357,-34.5803,-58.4378,1.7894744768122866
142,032  -  CATEDRAL,150  -  RODRIGO BUENO,613,-34.6072,-58.3735,-34.6192,-58.3556,2.1127793818846916
143,003  -  ADUANA,114  -  DELLA PAOLERA,601,-34.6112,-58.3696,-34.5949,-58.3724,1.830505016640508
144,164  -  FACULTAD DE INGENIERIA,082  -  HOSPITAL ITALIANO,2387,-34.6173,-58.3669,-34.6074,-58.4262,5.537363693185645
145,014  -  PACIFICO,001  -  FACULTAD DE DERECHO,874,-34.5782,-58.4266,-34.5842,-58.3905,3.371598418994396
146,316  -  BUENOS AIRES,316  -  BUENOS AIRES,3532,-34.6459,-58.3968,-34.6459,-58.3968,0.0
147,220  -  PLAZA FELIX LIMA,281  -  VILLA URQUIZA,2294,-34.5418,-58.4704,-34.5736,-58.4873,3.8598465901846204
148,041  -  PARQUE PATRICIOS II,316  -  BUENOS AIRES,448,-34.6374,-58.4057,-34.6459,-58.3968,1.2474919560278075
149,100  -  PLAZA GURRUCHAGA,054  -  ACUNA DE FIGUEROA,609,-34.5931,-58.4351,-34.5982,-58.4219,1.334706403030196
150,190  -  JUNCAL,333  -  PARQUE DE LA ESTACION,1399,-34.5852,-58.411,-34.608,-58.4118,2.5363016042362445
151,122  -  COSTA RICA,161  -  HUMAHUACA,430,-34.5916,-58.4204,-34.6021,-58.4195,1.17044933322028
153,199  -  ESTADOS UNIDOS Y BOEDO,076  -  AYACUCHO,2642,-34.6224,-58.4158,-34.607,-58.395,2.560365402173436
154,128  -  PARQUE DEL BAJO,151  -  AIME PAINE,475,-34.6052,-58.368,-34.612,-58.3615,0.9620816501651785
155,290  -  CLUB EXCURSIONISTAS,290  -  CLUB EXCURSIONISTAS,4914,-34.5581,-58.4433,-34.5581,-58.4433,0.0
156,315  -  BEIRO Y SAN MARTIN,274  -  GAVILAN,1740,-34.5976,-58.4985,-34.615,-58.4666,3.502447049785577
157,325  -  MEDRANO,013  -  ONCE,959,-34.6094,-58.4215,-34.6101,-58.4066,1.3658355268710656
158,146  -  HOSPITAL FRANCES,071  -  CERRITO,1747,-34.6222,-58.4077,-34.6026,-58.3838,3.0876765700414808
159,156  -  PLAZA ALEMANIA,038  -  PLAZA LIBERTAD,1967,-34.5778,-58.4073,-34.5971,-58.3827,3.110760613156121
160,243  -  PLAZOLETA CELEDONIO FLORES,070  -  ARAOZ,934,-34.5817,-58.4516,-34.5927,-58.4258,2.659734520644406
161,073  -  RUY DIAZ DE GUZMAN,179  -  CASA SAN,1705,-34.6305,-58.3716,-34.6385,-58.3643,1.1123762916520106
162,167  -  HIPOLITO YRIGOYEN,199  -  ESTADOS UNIDOS Y BOEDO,1045,-34.615,-58.4273,-34.6224,-58.4158,1.3358490908928151
163,136  -  ACEVEDO,171  -  PASTEUR,1798,-34.5998,-58.4428,-34.603,-58.3996,3.969946606204768
164,354  -  JOSE MARTI,029  -  PARQUE CENTENARIO,1746,-34.6438,-58.463,-34.608,-58.4333,4.819925278740096
165,137  -  AZOPARDO Y CHILE,128  -  PARQUE DEL BAJO,501,-34.6157,-58.3676,-34.6052,-58.368,1.1681204672675913
166,192  -  HOSPITAL SIRIO,052  -  CAMPANA II,211,-34.5904,-58.5071,-34.583,-58.5131,0.9893208062193564
168,066  -  BILLINGHURST,174  -  MINISTERIO DE EDUCACION,574,-34.5947,-58.4139,-34.5972,-58.3918,2.041891809189955
169,199  -  ESTADOS UNIDOS Y BOEDO,361  -  PLAZA DON SEGUNDO SOMBRA,1161,-34.6224,-58.4158,-34.6419,-58.4507,3.8597260537725613
170,164  -  FACULTAD DE INGENIERIA,150  -  RODRIGO BUENO,560,-34.6173,-58.3669,-34.6192,-58.3556,1.0554078510846208
171,111  -  MACACHA GUEMES,064  -  RIOBAMBA,993,-34.6048,-58.3639,-34.594,-58.3945,3.047396593538587
172,281  -  VILLA URQUIZA,067  -  PARQUE SARMIENTO I,728,-34.5736,-58.4873,-34.5553,-58.4948,2.1476314942824217
173,086  -  SAAVEDRA,168  -  ESTADOS UNIDOS,501,-34.6213,-58.4018,-34.6185,-58.3815,1.8834963176483035
174,014  -  PACIFICO,014  -  PACIFICO,172,-34.5782,-58.4266,-34.5782,-58.4266,0.0
175,360  -  PLAZA RAMON FALCON,330  -  PARQUE AVELLANEDA,341,-34.6354,-58.4827,-34.6423,-58.4783,0.8664301299815318
176,008  -  CONGRESO,207  -  PLAZA ARENALES,4468,-34.6101,-58.3891,-34.6001,-58.5117,11.275676393157653
177,275  -  PLAZA 24 DE SEPTIEMBRE,029  -  PARQUE CENTENARIO,1884,-34.6071,-58.4485,-34.608,-58.4333,1.3947030940435634
178,243  -  PLAZOLETA CELEDONIO FLORES,278  -  DONATO ALVAREZ,966,-34.5817,-58.4516,-34.6021,-58.4655,2.6008577424912933
179,027  -  MONTEVIDEO,045  -  URUGUAY,257,-34.5994,-58.3897,-34.6022,-58.3866,0.4212389572596896
180,161  -  HUMAHUACA,120  -  HOSPITAL RAMOS MEJIA,679,-34.6021,-58.4195,-34.6175,-58.4092,1.9547065027307127
181,186  -  MANZANA 66,186  -  MANZANA 66,1422,-34.6135,-58.4061,-34.6135,-58.4061,0.0
182,069  -  ECUADOR,200  -  AUSTRIA Y FRENCH,1380,-34.5958,-58.4046,-34.5883,-58.4043,0.8344139569309087
183,137  -  AZOPARDO Y CHILE,128  -  PARQUE DEL BAJO,437,-34.6157,-58.3676,-34.6052,-58.368,1.1681204672675913
184,101  -  FITZ ROY,005  -  PLAZA ITALIA,775,-34.5891,-58.4423,-34.5808,-58.4204,2.207069946442518
185,258  -  PLAZA J.J. PASO,391  -  PLAZA REPUBLICA DE ECUADOR,901,-34.5691,-58.4538,-34.56553,-58.41986,3.1329531268948028
186,194  -  PERON Y ACUNA DE FIGUEROA,187  -  JOSE MARIA MORENO,802,-34.606,-58.4227,-34.6202,-58.4356,1.9714960908672121
188,038  -  PLAZA LIBERTAD,112  -  9 DE JULIO,708,-34.5971,-58.3827,-34.6121,-58.3805,1.6800335288359716
189,083  -  PARANA,310  -  FREIRE II,1924,-34.6031,-58.3893,-34.5799,-58.4443,5.657034279250059
190,118  -  MEXICO,373  -  JORGELINA DE SIMONE,924,-34.6168,-58.4027,-34.624,-58.3906,1.366349335455592
191,156  -  PLAZA ALEMANIA,292  -  PLAZA BOLIVIA,1634,-34.5778,-58.4073,-34.5635,-58.4367,3.126444539152946
192,199  -  ESTADOS UNIDOS Y BOEDO,322  -  MARTI Y DIRECTORIO,2795,-34.6224,-58.4158,-34.6365,-58.4701,5.209755327710809
193,344  -  UNIVERSIDAD DI TELLA,239  -  AVENIDA CRAMER,1278,-34.5481,-58.4476,-34.558,-58.4673,2.1134611249254127
195,373  -  JORGELINA DE SIMONE,091  -  PASCO,366,-34.624,-58.3906,-34.6174,-58.3976,0.9741054410416526
196,128  -  PARQUE DEL BAJO,091  -  PASCO,2375,-34.6052,-58.368,-34.6174,-58.3976,3.029574494661912
197,171  -  PASTEUR,171  -  PASTEUR,1604,-34.603,-58.3996,-34.603,-58.3996,0.0
198,215  -  HOSPITAL ALVAREZ,155  -  PARQUE JOSE EVARISTO URIBURU,2536,-34.6231,-58.4684,-34.6381,-58.4112,5.49286354007774
199,120  -  HOSPITAL RAMOS MEJIA,163  -  ONCE II,7190,-34.6175,-58.4092,-34.6088,-58.4061,1.0081353399982365
200,303  -  HUAURA,350  -  PLAZA IRLANDA,606,-34.5973,-58.4531,-34.6131,-58.4572,1.7965062256511255
201,341  -  COMUNA 4,331  -  CALIFORNIA,1253,-34.6499,-58.4247,-34.647,-58.3743,4.6216115973851455
202,359  -  PLAZA BALCARCE,297  -  TRONADOR Y GARCIA DEL RIO,634,-34.5475,-58.4678,-34.5546,-58.4854,1.794812452748517
203,260  -  SAN MIGUEL DE GARICOITS,058  -  MINISTRO CARRANZA,951,-34.5772,-58.4576,-34.5749,-58.4353,2.0576315796732194
204,041  -  PARQUE PATRICIOS II,041  -  PARQUE PATRICIOS II,2776,-34.6374,-58.4057,-34.6374,-58.4057,0.0
205,237  -  MADERO OFFICE,130  -  RETIRO II,367,-34.5991,-58.3645,-34.5927,-58.375,1.1958891378161016
206,205  -  SAN MARTIN,223  -  GAINZA,435,-34.6057,-58.4532,-34.6168,-58.4467,1.3701312283082347
207,381  -  MATIENZO Y ARCE,255  -  BARRANCAS DE BELGRANO,476,-34.5688,-58.4343,-34.5599,-58.4482,1.6122591917861155
208,017  -  PLAZA ALMAGRO,101  -  FITZ ROY,1316,-34.6064,-58.4185,-34.5891,-58.4423,2.906219709685108
209,204  -  BIARRITZ,354  -  JOSE MARTI,1735,-34.6055,-58.4774,-34.6438,-58.463,4.457937694952973
210,280  -  JURAMENTO,233  -  MONROE,1437,-34.579,-58.4841,-34.5641,-58.4698,2.1117020653697107
211,174  -  MINISTERIO DE EDUCACION,189  -  POSADAS,451,-34.5972,-58.3918,-34.5885,-58.3855,1.1262389958853485
212,191  -  RIVADAVIA Y 9 DE JULIO,083  -  PARANA,1137,-34.6084,-58.3808,-34.6031,-58.3893,0.9759625045172162
213,107  -  HOSPITAL GARRAHAN,107  -  HOSPITAL GARRAHAN,1797,-34.6303,-58.3963,-34.6303,-58.3963,0.0
214,017  -  PLAZA ALMAGRO,056  -  PLAZA PALERMO VIEJO,906,-34.6064,-58.4185,-34.5887,-58.4262,2.0905371184750274
215,147  -  CONSTITUCION,135  -  MARCELO T. DE ALVEAR,1286,-34.6261,-58.3793,-34.5975,-58.3784,3.1812413048444994
216,181  -  BILLINGHURST Y MANSILLA,065  -  JULIAN ALVAREZ,260,-34.5926,-58.412,-34.5873,-58.416,0.6938196245354961
217,089  -  CABELLO,013  -  ONCE,1110,-34.5825,-58.4054,-34.6101,-58.4066,3.0709449259639894
218,124  -  UGARTECHE,160  -  GODOY CRUZ Y LIBERTADOR,520,-34.5807,-58.4125,-34.5728,-58.4207,1.1555405394098477
219,391  -  PLAZA REPUBLICA DE ECUADOR,005  -  PLAZA ITALIA,940,-34.56553,-58.41986,-34.5808,-58.4204,1.6986662033546442
220,010  -  MADERO UCA,128  -  PARQUE DEL BAJO,1562,-34.617,-58.3658,-34.6052,-58.368,1.3274573208404736
221,172  -  BRASIL,117  -  HUMBERTO 1°,282,-34.6254,-58.3711,-34.6199,-58.3742,0.6741543726663985
222,006  -  PARQUE LEZAMA,147  -  CONSTITUCION,431,-34.6282,-58.3694,-34.6261,-58.3793,0.9354500331080192
